Zip,Unemp. Rate,# in sample
2836,0.00,46
2837,0.08,2908
2838,0.06,2805
2839,0.09,1600
2840,0.04,20300
2841,0.00,969
2842,0.07,12779
2852,0.07,18258
2857,0.08,6848
2858,0.06,373
2859,0.13,5097
2860,0.11,34447
2861,0.10,22320
2863,0.09,14448
2864,0.05,26889
2865,0.06,13984
2871,0.06,13914
2872,,79
2873,0.00,105
2874,0.05,4328
2875,0.00,330
2876,0.00,81
2878,0.07,12864
2879,0.05,16800
2881,0.11,6833
2882,0.05,12634
2885,0.11,8997
2886,0.09,24944
2888,0.09,16334
2889,0.08,23516
2891,0.09,17009
2892,0.06,3499
2893,0.08,24184
2894,0.26,248
2895,0.08,32568
2896,0.05,9659
2898,0.08,1263
2903,0.14,9600
2904,0.11,24244
2905,0.17,19561
2906,0.07,25410
2907,0.20,20455
2908,0.12,30954
2909,0.16,30428
2910,0.10,17191
2911,0.08,12970
2912,0.12,2014
2914,0.10,17870
2915,0.08,13847
2916,0.06,7163
2917,0.11,11991
2919,0.08,23670
2920,0.11,31749
2921,0.06,9073
3031,0.04,8560
3032,0.03,3786
3033,0.03,3678
3034,0.06,3328
3036,0.05,3565
3037,0.05,3327
3038,0.07,26792
3042,0.04,5136
3043,0.04,1341
3044,0.05,3185
3045,0.04,11333
3046,0.05,2192
3047,0.05,1197
3048,0.09,2920
3049,0.05,5729
3051,0.08,19010
3052,0.06,6244
3053,0.07,18378
3054,0.05,20107
3055,0.06,12112
3057,0.05,1864
3060,0.10,22523
3062,0.06,22298
3063,0.08,13008
3064,0.09,11674
3070,0.04,4018
3071,0.05,3570
3076,0.07,9885
3077,0.12,8116
3079,0.07,23082
3082,0.04,1209
3084,0.08,1139
3086,0.09,2975
3087,0.07,10136
3101,0.09,2486
3102,0.07,26009
3103,0.09,28590
3104,0.05,26566
3106,0.04,10784
3109,0.07,8109
3110,0.05,15914
3215,0.00,343
3216,0.04,1669
3217,0.08,1235
3218,0.02,641
3220,0.04,5823
3221,0.06,1557
3222,0.05,4592
3223,0.04,2850
3224,0.03,1953
3225,0.04,3012
3226,0.03,819
3227,0.05,894
3229,0.04,4779
3230,0.06,931
3231,0.00,364
3233,0.05,167
3234,0.05,3638
3235,0.07,6761
3237,0.08,2035
3238,0.00,38
3240,0.02,1120
3241,0.08,663
3242,0.04,3872
3243,0.05,952
3244,0.06,6273
3245,0.03,1373
3246,0.09,13297
3249,0.04,5863
3251,0.06,1017
3253,0.06,5347
3254,0.03,3589
3255,0.05,1691
3256,0.05,1859
3257,0.01,3768
3258,0.08,2009
3259,0.00,261
3260,0.04,571
3261,0.05,3526
3262,0.06,1132
3263,0.10,3284
3264,0.05,6581
3266,0.09,1903
3268,0.07,977
3269,0.02,2400
3273,0.02,215
3275,0.08,9249
3276,0.05,6759
3278,0.07,2452
3279,0.09,563
3280,0.12,956
3281,0.03,6524
3282,0.14,868
3284,0.06,667
3285,0.06,1993
3287,0.08,1000
3290,0.10,3585
3291,0.00,50
3293,0.00,76
3301,0.07,27577
3303,0.04,12293
3304,0.05,5810
3307,0.05,4303
3431,0.11,22102
3440,0.07,2212
3441,0.07,373
3442,0.04,1081
3443,0.05,770
3444,0.05,1260
3445,0.08,581
3446,0.13,5043
3447,0.06,2030
3448,0.06,526
3449,0.02,1408
3450,0.04,725
3451,0.08,3410
3452,0.04,4427
3455,0.02,1700
3456,0.06,778
3457,0.02,774
3458,0.03,5439
3461,0.10,4943
3462,0.06,1338
3464,0.06,755
3465,0.09,1561
3466,0.09,901
3467,0.03,1686
3470,0.13,3914
3561,0.07,4785
3570,0.11,8593
3574,0.08,2016
3575,0.11,73
3576,0.06,2736
3579,0.05,408
3580,0.06,1303
3581,0.03,2659
3582,0.10,2324
3583,0.04,737
3584,0.05,2856
3585,0.09,2160
3586,0.05,521
3588,0.06,1459
3590,0.10,962
3592,0.05,1151
3593,0.03,410
3595,0.03,495
3597,0.11,387
3598,0.09,2661
3601,0.03,347
3602,0.04,1967
3603,0.03,4452
3604,0.00,178
3605,0.08,886
3607,0.06,243
3608,0.06,1798
3609,0.10,887
3740,0.08,540
3741,0.07,3350
3743,0.08,11453
3745,0.05,1223
3746,0.11,164
3748,0.00,3774
3750,0.05,683
3751,0.00,537
3752,0.07,720
3753,0.03,2355
3754,0.00,41
3755,0.04,9265
3765,0.00,427
3766,0.04,7900
3768,0.02,1552
3770,0.01,365
3771,0.00,664
3773,0.05,6432
3774,0.02,1251
3777,0.01,1030
3779,0.02,751
3780,0.06,348
3781,0.01,1663
3782,0.03,2536
3784,0.02,3230
3785,0.11,2349
3801,0.04,18490
3809,0.05,2857
3810,0.05,1387
3811,0.08,5474
3812,0.12,591
3813,0.04,2816
3814,0.10,1807
3816,0.06,1079
3817,0.06,695
3818,0.11,3213
3819,0.05,3321
3820,0.06,24852
3823,0.07,1464
3824,0.07,13277
3825,0.06,6306
3826,0.09,2039
3827,0.06,2469
3830,0.10,1119
3832,0.09,394
3833,0.04,16797
3835,0.07,5352
3836,0.04,979
3837,0.03,776
3838,0.06,901
3839,0.05,3027
3840,0.03,2805
3841,0.06,5135
3842,0.05,13058
3844,0.04,1725
3845,0.06,875
3846,0.05,761
3847,0.00,174
3848,0.08,4765
3849,0.03,1106
3850,0.05,255
3851,0.11,3160
3852,0.28,484
3853,0.02,775
3854,0.04,847
3855,0.05,2090
